BASE_DATE,ID_KISP,CLEAN_PRICE,MAT_YLD,MAT_MOD_DUR,MAT_CONVEX
20170515,XS1388938802,96.12521728,0.0319447,7.8956415,33.6263316
20170516,XS1388938802,96.54321793,0.0313904,7.8956035,33.6192217
20170517,XS1388938802,96.4740791,0.0314834,7.8923751,33.5948474
20170518,XS1388938802,96.82774949,0.031016,7.8920807,33.5866447
20170519,XS1388938802,97.18798777,0.0305416,7.8922725,33.5813655
20170520,XS1388938802,97.25926138,0.0304488,7.8903516,33.5644198
20170521,XS1388938802,97.26106388,0.0304473,7.8876316,33.5429072
20170522,XS1388938802,97.26286596,0.0304459,7.8849116,33.521402
20170523,XS1388938802,97.26524782,0.0304437,7.8821582,33.4997288
20170524,XS1388938802,97.33024798,0.0303591,7.879917,33.4808523
20170525,XS1388938802,96.93816992,0.0308776,7.8746555,33.4454284
20170526,XS1388938802,97.13717306,0.0306156,7.8730228,33.4296367
20170527,XS1388938802,97.17368627,0.0305684,7.8705801,33.409725
20170528,XS1388938802,97.17543502,0.0305671,7.8678594,33.3882624
20170529,XS1388938802,97.17718349,0.0305657,7.8651388,33.3668071
20170530,XS1388938802,97.1609424,0.0305882,7.8624037,33.3454333
20170531,XS1388938802,97.22112761,0.0305097,7.8601167,33.3263182
20170601,XS1388938802,97.44989362,0.0302079,7.8590341,33.3138523
20170602,XS1388938802,97.47070963,0.0301814,7.8565362,33.2937065
20170603,XS1388938802,97.40675349,0.0302666,7.8534441,33.2703198
20170604,XS1388938802,97.40847492,0.0302652,7.8507232,33.2489036
20170605,XS1388938802,97.41019674,0.0302639,7.8480024,33.2274946
20170606,XS1388938802,97.79354141,0.02976,7.8482379,33.2223115
20170607,XS1388938802,97.79514524,0.0297586,7.8455166,33.2009073
20170608,XS1388938802,97.92799928,0.0295849,7.8439107,33.1857051
20170609,XS1388938802,97.72159653,0.029857,7.8397258,33.1563463
20170610,XS1388938802,97.6670528,0.0299296,7.8366004,33.1326675
20170611,XS1388938802,97.66875373,0.0299282,7.8338797,33.1112986
20170612,XS1388938802,97.67045477,0.0299268,7.8311589,33.089937
20170613,XS1388938802,97.4826626,0.0301755,7.8273477,33.0628351
20170614,XS1388938802,97.47153119,0.0301911,7.8245484,33.040977
20170615,XS1388938802,97.5340998,0.0301093,7.8224593,33.0232541
20170616,XS1388938802,98.05348571,0.0294258,7.8238097,33.0243137
20170617,XS1388938802,97.77495441,0.0297931,7.8191994,32.9929414
20170618,XS1388938802,97.77654788,0.0297918,7.8164773,32.9716128
20170619,XS1388938802,97.77814105,0.0297905,7.8137553,32.9502916
20170620,XS1388938802,97.912205,0.0296146,7.8116197,32.9318981
20170621,XS1388938802,97.62738068,0.0299912,7.8072407,32.9019231
20170622,XS1388938802,97.89602966,0.0296374,7.8065683,32.8917102
20170623,XS1388938802,97.93391822,0.0295882,7.8040052,32.8713098
20170624,XS1388938802,97.90241305,0.0296305,7.8009742,32.8483327
20170625,XS1388938802,97.90393271,0.0296293,7.7982517,32.8270515
20170626,XS1388938802,97.90545221,0.029628,7.7955293,32.8057777
20170627,XS1388938802,97.92486027,0.0296032,7.7929472,32.7853125
20170628,XS1388938802,98.06698269,0.0294165,7.7914497,32.7708361
20170629,XS1388938802,97.31325297,0.0304151,7.7831201,32.719325
20170630,XS1388938802,97.28565674,0.0304528,7.7797485,32.6941566
20170701,XS1388938802,96.96931455,0.0308757,7.7744404,32.6587197
20170702,XS1388938802,96.97103857,0.0308745,7.7717188,32.6375129
20170703,XS1388938802,96.97276237,0.0308733,7.7689971,32.6163138
20170704,XS1388938802,96.63882326,0.0313218,7.7638609,32.5821954
20170705,XS1388938802,96.36873379,0.0316863,7.7593013,32.5512674
20170706,XS1388938802,96.52384652,0.0314788,7.7577946,32.5367064
20170707,XS1388938802,96.4906432,0.0315248,7.754799,32.5140696
20170708,XS1388938802,96.15527179,0.0319785,7.7493101,32.4778759
20170709,XS1388938802,96.15716207,0.0319773,7.7465884,32.4567366
20170710,XS1388938802,96.15905202,0.0319762,7.7438668,32.4356049
20170711,XS1388938802,96.1666775,0.0319674,7.7409423,32.4131934
20170712,XS1388938802,96.11450627,0.0320394,7.7377373,32.3894374
20170713,XS1388938802,96.35961033,0.0317095,7.7367026,32.3772708
20170714,XS1388938802,96.6797215,0.0312793,7.7363675,32.3689698
20170715,XS1388938802,96.58053261,0.0314142,7.7328807,32.3436285
20170716,XS1388938802,96.58250055,0.0314128,7.7301612,32.3225466
20170717,XS1388938802,96.58449147,0.0314114,7.727442,32.3014735
20170718,XS1388938802,96.68182113,0.0312815,7.7252664,32.2831446
20170719,XS1388938802,96.85525239,0.0310494,7.7240035,32.2700394
20170720,XS1388938802,97.10138281,0.03072,7.7233644,32.2601681
20170721,XS1388938802,97.12904731,0.030684,7.7207346,32.2395515
